"code_INSEE","latitude","longitude","altitude_med"
"61193",48.8145,0.4919,272
"61234",48.4537,0.0379,143
"61002",48.6975,0.1242,176
"61244",48.6597,0.4392,223
"12225",44.0567,2.9875,360
"12291",44.2155,3.048,712
"38545",45.043,5.6712,285
"12003",44.5401,2.1801,185
"12037",44.024,2.7155,266
"38527",45.1884,6.0995,772
"65295",42.8357,0.0175,1210
"79111",46.0794,-0.2597,106
"79195",46.9391,-0.6114,200
"79016",46.7846,-0.0692,132
"47039",44.1589,0.0698,149
"24354",45.1292,0.0494,29
"24273",44.816,0.824,140
"24165",45.0788,0.1167,29
"40053",44.153,-0.2091,115
"40287",44.4776,-1.0903,23
"40307",44.3073,-0.6021,70
"40142",43.8533,-0.9816,77
"40087",43.9948,-0.0744,150
"40123",43.8013,-1.1332,26
"40217",44.3527,-1.0879,15
"64233",43.5578,-0.2739,130
"64217",43.1837,-0.7141,350
"33021",44.5117,-0.159,114
"33348",45.3565,-0.9952,14
"33544",45.5573,-1.0826,12
"33322",44.9555,-0.6737,27
"41193",47.9517,1.0287,206
"86086",46.8111,0.7262,58
"2B210",42.4168,9.464,25
"2B135",42.0169,9.2694,198
"2B007",42.3145,8.9277,1074
"2B207",42.4565,9.4888,25
"34156",43.6361,3.2849,184
"34279",43.5206,3.0847,230
"5004",44.6195,6.2288,1354
"5090",44.74,6.1211,1100
"7093",44.7401,4.3915,428
"2B223",42.5427,9.1778,510
"4019",44.3751,6.6463,2100
"30325",43.9903,3.7407,252
"83044",43.7075,6.506,884
"4018",44.0244,5.6496,747
"2A117",41.8463,9.0155,541
"2B046",42.8725,9.4431,278
"13044",43.6172,5.0431,58
"30041",43.9667,4.3727,59
"30145",43.9104,4.5194,24
"48145",44.7377,3.4717,1418
"48049",44.5333,3.2667,746
"48040",44.55,3.8167,900
"34118",43.728,3.923,65
"26146",44.4395,4.9032,206
"26295",45.1607,4.8706,203
"2B354",42.1429,9.1139,986
"2B029",42.6826,9.3636,300
"2B352",42.5845,8.9917,844
"30319",44.0409,4.3377,603
"66041",42.7931,2.7771,182
"34295",43.5685,3.7829,45
"7040",45.0287,4.6877,566
"48146",44.3635,3.4574,618
"4179",44.2368,6.0526,1070
"34221",43.7238,3.604,58
"34230",43.8562,3.2635,729
"34162",43.4709,3.5067,22
"66193",42.5736,2.324,457
"7330",44.3982,4.4024,120
"7134",44.5051,4.2875,220
"83076",43.3435,5.8899,300
"34318",43.8286,3.953,67
"4086",44.4137,6.684,1510
"4209",44.1993,5.9276,485
"48028",44.3992,3.6364,903
"34087",43.5395,3.7024,34
"34209",43.3025,3.3458,15
"6002",43.8973,6.8108,1525
"2A099",41.932,9.1848,928
"7085",45.0254,4.5968,367
"7129",44.9767,4.5911,367
"30295",44.0582,4.441,135
"13019",43.453,5.3467,163
"7161",44.7214,4.1977,602
"7028",44.3575,4.2553,251
"48050",44.348,3.6415,903
"11095",43.1651,2.5851,130
"6104",43.7638,7.4576,75
"66046",42.8213,2.3781,347
"26367",44.3971,5.0995,270
"11132",43.1282,2.7139,85
"84091",44.1784,4.7587,55
"30337",44.0647,4.4851,135
"4090",44.0183,6.6627,1090
"4061",44.1602,6.6585,1642
"2A024",41.811,9.0929,1018
"7226",44.9502,4.2623,1190
"7200",44.7201,4.1409,1185
"50041",49.6547,-1.8214,140
